Mass_0_X,Mass_0_Y,Mass_1_X,Mass_1_Y,Mass_2_X,Mass_2_Y,Mass_3_X,Mass_3_Y,Mass_4_X,Mass_4_Y,Mass_5_X,Mass_5_Y,Mass_6_X,Mass_6_Y,Mass_7_X,Mass_7_Y,Mass_8_X,Mass_8_Y,Mass_9_X,Mass_9_Y,Mass_10_X,Mass_10_Y,Mass_11_X,Mass_11_Y,Mass_12_X,Mass_12_Y,Mass_13_X,Mass_13_Y,Mass_14_X,Mass_14_Y,Mass_15_X,Mass_15_Y
0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.0009613800000000001,1.0,-0.0009613800000000001,2.0,-0.0009613800000000001,3.0,-0.0009613800000000001,0.0,0.99903862,1.0,0.99903862,2.0,0.99903862,3.0,0.99903862,0.0,1.99903862,1.0,1.99903862,2.0,1.99903862,3.0,1.99903862,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.0028649124,1.0,-0.0028649124,2.0,-0.0028649124,3.0,-0.0028649124,0.0,0.9971350876,1.0,0.9971350876,2.0,0.9971350876,3.0,0.9971350876,0.0,1.997144509124,1.0,1.997144509124,2.0,1.997144509124,3.0,1.997144509124,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.005691754152,1.0,-0.005691754152,2.0,-0.005691754152,3.0,-0.005691754152,0.0,0.9943083381789353,1.0,0.9943083381789353,2.0,0.9943083381789353,3.0,0.9943083381789353,0.0,1.9943547919451696,1.0,1.9943547919451696,2.0,1.9943547919451696,3.0,1.9943547919451696,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.009423438164116834,1.0,-0.009423438164116834,2.0,-0.009423438164116834,3.0,-0.009423438164116834,0.0,0.9905771980883576,1.0,0.9905771980883576,2.0,0.9905771980883576,3.0,0.9905771980883576,0.0,1.990714356901944,1.0,1.990714356901944,2.0,1.990714356901944,3.0,1.990714356901944,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.014041862260717082,1.0,-0.014041862260717082,2.0,-0.014041862260717082,3.0,-0.014041862260717082,0.0,0.9859606387206905,1.0,0.9859606387206905,2.0,0.9859606387206905,3.0,0.9859606387206905,0.0,1.986275005705571,1.0,1.986275005705571,2.0,1.986275005705571,3.0,1.986275005705571,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.01952927336576753,1.0,-0.01952927336576753,2.0,-0.01952927336576753,3.0,-0.01952927336576753,0.0,0.9804780868272107,1.0,0.9804780868272107,2.0,0.9804780868272107,3.0,0.9804780868272107,0.0,1.9810944856807586,1.0,1.9810944856807586,2.0,1.9810944856807586,3.0,1.9810944856807586,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.025868244118825785,1.0,-0.025868244118825785,2.0,-0.025868244118825785,3.0,-0.025868244118825785,0.0,0.9741497745504741,1.0,0.9741497745504741,2.0,0.9741497745504741,3.0,0.9741497745504741,0.0,1.9752354293880066,1.0,1.9752354293880066,2.0,1.9752354293880066,3.0,1.9752354293880066,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.03304163887386373,1.0,-0.03304163887386373,2.0,-0.03304163887386373,3.0,-0.03304163887386373,0.0,0.966997111353721,1.0,0.966997111353721,2.0,0.966997111353721,3.0,0.966997111353721,0.0,1.9687642275956991,1.0,1.9687642275956991,2.0,1.9687642275956991,3.0,1.9687642275956991,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.04103256598157059,1.0,-0.04103256598157059,2.0,-0.04103256598157059,3.0,-0.04103256598157059,0.0,0.959043059407844,1.0,0.959043059407844,2.0,0.959043059407844,3.0,0.959043059407844,0.0,1.9617498626696286,1.0,1.9617498626696286,2.0,1.9617498626696286,3.0,1.9617498626696286,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.04982431341830705,1.0,-0.04982431341830705,2.0,-0.04982431341830705,3.0,-0.04982431341830705,0.0,0.9503124940440337,1.0,0.9503124940440337,2.0,0.9503124940440337,3.0,0.9503124940440337,0.0,1.9542627297159516,1.0,1.9542627297159516,2.0,1.9542627297159516,3.0,1.9542627297159516,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.05940026519317784,1.0,-0.05940026519317784,2.0,-0.05940026519317784,3.0,-0.05940026519317784,0.0,0.9408325315839535,1.0,0.9408325315839535,2.0,0.9408325315839535,3.0,0.9408325315839535,0.0,1.946373472360547,1.0,1.946373472360547,2.0,1.946373472360547,3.0,1.946373472360547,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
